error,cid
L6,80298
L6,80545
L6,80560
L6,80575
L6,80613
L6,80885
L6,80969
L6,81087
L6,81188
L6,81217
L6,81273
L6,81295
L6,81448
L6,81720
L6,81883
L6,81902
L6,82144
L6,82705
L6,82919
L6,83408
L6,83964
L6,84028
L6,84095
L6,84163
L6,84244
L6,84482
L6,84768
L6,84863
L6,85089
L6,85751
L6,85786
L6,85815
L6,85917
L6,86437
L6,86524
L6,86668
L6,86957
L6,87074
L6,87340
L6,87374
L6,87514
L6,87566
L6,87650
L6,88140
L6,88252
L6,88748
L6,89577
L6,89618
L6,89701
L6,89757
L6,90506
L6,90710
L6,90975
L6,91054
L6,91189
L6,91291
L6,91633
L6,91742
L6,91862
L6,92120
L6,92838
L6,93416
L6,93674
L6,93724
L6,93969
L6,94391
L6,94536
L6,94539
L6,95092
L6,95173
L6,95288
L6,95447
L6,95777
L6,95951
L6,96223
L6,96814
L6,96892
L6,96958
L6,97161
L6,97234
L6,97330
L6,97876
L6,98147
L6,98161
L6,98215
L6,98314
L6,98510
L6,98902
L6,98920
L6,99203
L6,99287
L6,99909
L7,30837
L7,36369
L7,37232
L7,44548
L7,45279
L7,45909
L7,48432
L7,54861
L7,55001
L7,58007
L7,58807
L7,60230
L7,64595
L7,64655
L7,66920
L7,70585
L7,71870
L7,71896
L7,73023
L7,75707
L7,76126
L7,76865
L7,77569
L8,30891
L8,32034
L8,33174
L9,30962
L9,32378
L9,32407
L9,32875
L9,33300
L9,33585
L9,33629
L9,35248
L9,35747
L9,38689
L9,39593
L9,40525
L9,41258
L9,42426
L9,43607
L9,44248
L9,44330
L9,44496
L9,44999
L9,45258
L9,45363
L9,46262
L9,48927
L9,50245
L9,50855
L9,51627
L9,52623
L9,54327
L9,55836
L9,59095
L9,60226
L9,62602
L9,63408
L9,64043
L9,64519
L9,67015
L9,71136
L9,72102
L9,72156
L9,72780
L9,77755
L9,77853
L9,77855
L10,30989
L10,31205
L10,31302
L10,31492
L10,31560
L10,31877
L10,32547
L10,32940
L10,33200
L10,33222
L10,34513
L10,35239
L10,35323
L10,35777
L10,36088
L10,36389
L10,36473
L10,36530
L10,36927
L10,37742
L10,38186
L10,38470
L10,39019
L10,39533
L10,39617
L10,39642
L10,39819
L10,40696
L10,40712
L10,41046
L10,42211
L10,42329
L10,42643
L10,42686
L10,43139
L10,43356
L10,43537
L10,43580
L10,43972
L10,43976
L10,44669
L10,45230
L10,45463
L10,45829
L10,47184
L10,47474
L10,47557
L10,48359
L10,48921
L10,48961
L10,50278
L10,50525
L10,50720
L10,51040
L10,51413
L10,51777
L10,51958
L10,52706
L10,52941
L10,53352
L10,53378
L10,53489
L10,53851
L10,54128
L10,54465
L10,54922
L10,55261
L10,55294
L10,56317
L10,56697
L10,56728
L10,56794
L10,57028
L10,57038
L10,57348
L10,57676
L10,57747
L10,58063
L10,58217
L10,58244
L10,58480
L10,58879
L10,59158
L10,59390
L10,59442
L10,59595
L10,59701
L10,59966
L10,60220
L10,60780
L10,60968
L10,61083
L10,61253
L10,62685
L10,62707
L10,62981
L10,63556
L10,64078
L10,65017
L10,65169
L10,66165
L10,66886
L10,68568
L10,68793
L10,68984
L10,69167
L10,69217
L10,69707
L10,69888
L10,72245
L10,72493
L10,72494
L10,72891
L10,73349
L10,73627
L10,73725
L10,74439
L10,74534
L10,74602
L10,75027
L10,75347
L10,75483
L10,75768
L10,77227
L10,77546
L10,77704
L10,78079
L10,78160
L10,79997
L10,83941
L10,84214
L11,31213
L11,33148
